id,nombre,grado,num_premios,programa,puntaje_mat,puntaje_ing,puntaje_ciencias
1,Adan Sanchez,6,0,Vocacional,41,50,33
2,Eva Gutierrez,6,0,General,41,44,46
3,Alexander Piedrahita,6,0,Vocacional,44,13,40
4,Adolfo Sanchez,6,0,Vocacional,55,39,38
5,Sebastian Gomez,6,0,Vocacional,40,56,44
6,Santiago Gomez,6,0,General,42,76,37
7,Lucia Ramos,6,0,Vocacional,46,53,40
8,Fausto Rojas,6,0,Vocacional,40,56,39
9,Isabela Garcia,6,0,Vocacional,33,65,43
10,Santiago Garcia,6,0,Vocacional,46,75,38
11,Ivan Alba,6,0,Vocacional,40,78,45
12,Juan Garcia,6,0,Academico,38,77,39
13,Samuel Lopez,6,0,Vocacional,44,43,42
14,Santiago Triana,6,0,Vocacional,37,35,45
15,Alexandra Clavijo,6,0,Vocacional,40,63,40
16,Ana Quintero,6,0,General,39,56,40
17,Juliana Castro,6,0,General,43,78,50
18,Isabela Restrepo,6,0,Vocacional,38,76,49
19,Emanuel Ruales,6,0,Academico,45,65,44
20,Joan Belalcazar,6,0,Vocacional,39,66,46
21,Kenny Ackerman,6,0,General,42,12,46
22,Juan Sanchez,6,0,Vocacional,45,57,41
23,Luis Ramos,6,0,Vocacional,40,44,42
24,Maria Vergara,6,0,Vocacional,40,66,50
25,Marta Casas,6,0,Academico,50,98,44
26,Juliana Torres,6,0,Academico,49,65,13
27,Samuel Castro,6,1,General,44,76,39
28,Pedro Sanchez,6,1,General,46,87,56
29,Isabela Rojas,6,0,Academico,46,56,76
30,Esteban Solarte,6,1,Academico,41,86,53
31,Gabriela Solarte,6,0,General,42,88,56
32,Emanuel Velez,6,0,Vocacional,47,97,65
33,Juan Bonilla,6,1,Academico,43,59,75
34,Esteban Cruz,6,0,Academico,49,10,78
35,Aquiles Garcia,6,1,Vocacional,40,34,77
36,Tiago Bedoya,6,1,Vocacional,39,60,43
37,Juan Medina,6,0,Vocacional,49,65,35
38,Alejandro Caribia,6,0,Academico,51,35,63
39,Isaac Ariza,6,0,General,43,55,56
40,Laura Acosta,6,0,Academico,41,47,78
41,Sergio Acosta,6,0,General,57,82,76
42,Miguel Acosta,6,0,Academico,50,61,65
43,Jose Muriel,6,0,Academico,44,72,66
44,Maria Labrada,6,0,Vocacional,39,45,12
45,Paola Quiceno,6,0,Academico,52,64,57
46,Kevin Pineda,6,1,Vocacional,41,15,44
47,Yuri Pineda,6,0,Vocacional,39,76,66
48,Leidy Padilla,6,0,General,39,77,98
